experiment_run[gemini-2.5-flash-reference] = 120
experiment_run[gemma-4-26b-a4b] = 122
experiment_run[qwen3-30b-a3b-2507] = 121
attempts complete: 360
attempts failed: 0
  phase_run_id=5198 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5198 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5198 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5223 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5223 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5223 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5241 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5241 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5241 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5246 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5246 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5246 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5372 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5372 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5372 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5384 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5384 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5384 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5393 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5393 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5393 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5404 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5404 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5404 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5556 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5556 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5556 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5559 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5559 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5559 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5782 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5782 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5782 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5786 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5786 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5786 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5839 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5839 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5839 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5919 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5919 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5919 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5922 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5922 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5922 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5964 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=5964 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=5964 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6019 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6019 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6019 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6134 variant='gemini-2.5-flash-reference' repeat=1 status=complete
